n,p,v
同僚,から,構成
社会的,に,組み込む
人,へ,広がる
広がる,を,追跡
うち,に,与える
生活,に,与える
影響,を,与える
与える,を,紹介
アルバム,を,掻き立てる
意欲,を,掻き立てる
一夜,を,歌う
中,から,披露
曲,を,披露
弾,を,込める
家,を,捜索
陰,に,隠れる
暮らし,を,変える
コネクション,を,構築
評価,を,得る
助け,を,する
する,を,紹介
一途,を,たどる
統計,を,用いる
状況,を,説明
海,を,破壊
モデル,を,使う
周り,を,動かす
リーダーシップ,に,説明
質問,から,始まる
例,と,取り上げる
兄弟,を,取り上げる
例,と,取り上げる
株価,が,取り上げる
tivo,を,取り上げる
行動,を,促す
軽減,を,目指す
仕方,に,掲げる
疑問,を,掲げる
解決策,を,試す
試験,で,試す
否,が,わかる
分析,に,かける
tedtalk,を,かける
ツール,に,かける
評価,に,基づく
基準,を,編み出す
講演,を,評価
tedtalks,に,まつわる
それ,を,見る
講演,で,解き進む
正体,を,解き進む
科学,に,向ける
前,に,辞める
職,を,辞める
海,を,渡る
ボート,で,渡る
横断,を,果たす
女性,と,漕ぐ
目,を,漕ぐ
こと,を,する
両方,を,聞く
講演,で,聞く
洋,を,漕ぐ
知識,を,する
知識,を,検索
挑戦,に,語る
背後,に,ある
物理,を,説明
モデル,を,見る
こと,に,劣る
理論,を,計算
社会的,を,与える
恰好,を,する
サリー,を,着る
慣習,を,変える
文化,を,する
誇り,に,する
女性,に,話す
伝統,を,取り込む
問題,に,引く
関心,を,引く
手書き,で,書く
手紙,を,書く
小切手,を,切る
効果的,を,語る
ステップ,を,紹介
研究,を,発表
マシュマロ,を,使う
ら,を,使う
塔,を,建てる
成績,を,残す
塔,を,建てる
チーム,を,作る
薬,で,抑える
病気,を,抑える
アフリカ,で,できる
必要,と,する
機会,を,拡大
倍,に,拡大
睡眠薬,を,のみ
分間,に,信じる
もの,を,信じる
批判,を,繰り広げる
たち,に,挑戦
ドル,を,差し上げる
世界,を,探査
洞察,を,語る
水中,で,光る
ハーレム,に,ある
美術館,で,する
学芸員,を,する
例,に,定義
文化,を,定義
定義,を,語る
作品,を,使う
機会,を,生み出す
データ,を,使う
u,で,講演
家,を,新築
値,を,示す
選択,に,説明
予想,と,違う
歴史,を,保存
歴史,を,作る
ユニバーシティ,で,公開
写真,を,公開
印象,を,焼き付ける
心,に,焼き付ける
目,を,そらす
世界,を,変える
理性,に,抱く
不安,を,抱く
こと,と,つながる
進歩,に,もたらす
災い,を,もたらす
科学,を,否定
花粉症,に,なる
存在,に,気付く
顕微鏡,を,使う
形,を,する
方法,に,紹介
レベル,で,紹介
花粉,に,ある
歴,を,誇る
tedxnasa,で,紹介
ロボット,を,紹介
サッカー,を,する
崖,を,這い上る
チーム,に,作る
技術的,を,もたらす
最後,に,する
戦場,で,失う
脚,を,失う
想像,を,超える
義肢,を,デザイン
ら,に,取り戻す
生活,を,取り戻す
こと,に,取り組む
きっかけ,と,なる
出会い,に,語る
場,で,語る
裏,に,ある
裏付け,と,なる
機知,に,富む
眼鏡,を,装備
税金,に,立ち向かう
拡大,に,立ち向かう
矛盾,を,する
状況,に,ある
直感,に,反する
時,に,食い止める
拡大,を,食い止める
研究,に,証明
期待,を,受ける
子供,に,教える
子供,から,学ぶ
子供,から,学べる
何,を,学べる
助け,を,借りる
実際,に,起きる
もの,を,解説
中,で,ある
ニュース,を,集める
将来,を,形作る
2010,で,当てる
記事,に,当てる
焦点,を,当てる
人々,を,教育
以上,に,ある
統計データ,を,振り返る
子供,を,扱う
個人,と,扱う
こと,に,置く
重点,を,置く
スラム,に,もたらす
希望,を,もたらす
物語,を,語る
子供,を,教える
制度,に,する
説明,を,する
今,で,持つ
規模,を,持つ
体験,を,交える
奴隷,を,解放
価値,を,語る
制度,と,戦う
相手,に,レッスン
そこ,から,学ぶ
こと,を,話す
ステージ,に,呼び戻す
編曲,に,なる
番,から,演奏
プレリュード,を,演奏
音楽,に,救う
発見,を,紹介
氷,で,満ちる
どこ,で,存在
火星,を,探査
こと,を,見つける
単語,を,羅列
表現,に,置き換える
誰,に,わかる
かた,を,提唱
ブラジル,で,捕獲
たち,を,救う
密猟者,から,助け出す
これ,から,なる
善悪,に,関わる
科学,から,導く
答え,を,導く
価値観,を,形作る
人生,を,構成
よりどころ,に,なる
観,に,まつわる
現場,に,いる
奮闘,に,語る
雪,に,埋もれる
男,に,まつわる
画像,を,用いる
奇跡,を,説明
世界,を,救う
プレーヤー,に,与える
手段,を,与える
様式,を,つける
身,に,つける
力,を,解決
問題,を,解決
方法,を,説明
ゲーム,で,築く
tedmed,で,する
発言,を,する
老人ホーム,から,なる
システム,に,縛る
状態,に,陥る
家庭,を,する
基盤,と,する
管理,に,注目
医療,を,取り外す
メインフレーム,から,取り外す
活動,を,停止
有毒,と,する
ガス,を,利用
人,を,する
状態,に,する
治療,を,受ける
時間,を,稼ぐ
こと,に,役立つ
以上,に,発揮
実際,に,発揮
効果,を,発揮
研究,で,なる
反応,を,見せる
こと,を,証明
血,に,示す
反応,を,示す
内容,を,含む
魚,を,載せる
メニュー,に,載せる
解決,を,見いだす
調査,を,行う
真顔,で,飛ばす
ジョーク,を,飛ばす
魚,を,追い求める
顛末,を,語る
場,で,とれる
スペイン,で,出会う
魚,と,出会う
恋,に,落ちる
交差点,で,発生
ドライバー,が,運転
ドライバー,が,運転
アイディア,を,共有
性質,を,融合
運転手,に,なる
データ,を,アクセス
web,で,アクセス
機関,に,求める
こと,を,求める
University,で,紹介
幾つ,を,紹介
アップ,で,変わる
世界,で,盛り上がる
文化,で,沸く
ステージ,を,沸く
一部,を,披露
パワー,を,見せつける
時代,に,進化
世界,を,作り出す
頃,に,感ずる
中,で,導く
彼,を,導く
成功,に,導く
導く,を,明かす
アバター,を,生み出す
デモ,を,見せる
ネット,に,ある
革新的,を,する
基盤,に,する
ブラウジング,で,見える
発見,を,する
分岐点,と,なる
経済学,を,つくり上げる
例,を,交える
違い,を,語る
関係,を,もつ
心,を,引きつける
話,を,する
彼,を,連れる
土地,へ,連れる
アーティスト,と,生まれ変わる
メディア,に,もてはやす
社会,に,見捨てる
父親,に,なる
内容,を,説明
たち,に,施す
無料,で,施す
治療,を,施す
データ,を,解釈
こと,を,学ぶ
学ぶ,を,語る
頃,に,診断
自閉症,と,診断
働き方,に,話す
絵,で,考える
解決,に,役立つ
領域,に,ある
達,を,する
必要,と,する
頭脳,を,する
必要,と,する
スマートフォン,を,使う
疾患,を,確認
うち,に,説く
医療,で,役立つ
tedmed,で,紹介
通信機器,を,紹介
機器,を,使う
ベッド,で,寝る
通信,を,使う
原,に,なる
項目,を,提案
法制度,を,直す
2010,に,する
ビジョン,を,する
終末,を,避ける
従来,と,異なる
原子炉,を,サポート
理由,を,説明
年,に,する
量,を,する
ゼロ,に,する
エネルギー,に,語る
役,に,立つ
足,を,切断
づけ,を,する
言葉,を,する
もの,と,する
門戸,を,開く
状態,で,生まれる
事例,を,交える
逆境,から,生まれる
時代,に,突入
テクノロジー,に,得る
権限,を,得る
理論,を,利用
傾向,を,発展
政策,に,発展
2010,で,飲む
息,を,飲む
実演,を,見せる
エピソード,を,語る
無知,を,叩く
必要,を,要する
コストゼロ,で,生産
誰,で,扱える
ALS,と,診断
生活,に,注ぐ
力,を,注ぐ
ウェブサイト,を,立ち上げる
病状,を,共有
経過,を,追う
患者,を,癒す
病状,を,説明
威力,を,発揮
命,を,吹き込む
ところ,で,当たる
分間,で,示す
こと,を,見せる
途上国,で,限る
ため,に,限る
赤ちゃん,を,保てる
発明,を,披露
命,を,救う
命,を,救う
中,に,ある
中,で,宣言
それ,を,抑圧
世界中,で,信ずる
暴力,を,克服
物語,を,語る
強い,を,する
工程,を,立案
結果,を,もたらす
つ,で,構築
自ら,を,構築
シアター,を,作り変える
劇場,と,作り変える
講演,で,紹介
過程,を,紹介
自ら,を,構築
劇場,を,建てる
影響,を,与える
カルテ,に,載る
データ,から,組み合わさる
データ,が,組み合わさる
GPS,と,組み合わさる
たち,に,与える
情報,を,与える
tedmed,で,説明
与える,を,説明
それ,を,呼ぶ
医学,と,呼ぶ
最先端技術,を,駆使
研究所,で,培養
たち,と,取り組む
tedmed,で,紹介
様子,を,紹介
度,に,予熱
組織,を,プリント
中,から,飛び出す
インド,で,ある
人,に,語る
媒体,を,使用
文化,を,する
インスピレーション,と,する
水中,で,止める
息,を,止める
意味,を,語る
絶対,に,する
地図,に,載る
埋没,を,引き起こす
世界中,で,使う
ため,に,使う
スピーチ,で,行う
デモ,を,行う
課目,を,教える
たち,に,教える
課題,を,解決
たち,で,解決
たち,を,導く
たち,に,教える
can,と,教える
子供,を,捕獲
方法,で,調教
踊り,を,調教
地域,で,立てる
こと,で,立てる
生計,を,立てる
風習,に,打つ
終止符,を,打つ
なか,で,見つける
教訓,を,見つける
ら,を,取り込む
一部,と,取り込む
熊,を,救う
道,を,見る
生活,を,送る
ゾーン,を,研究
歳,を,超える
生活習慣,を,話す
歳,を,超える
内側,に,存在
別世界,を,する
そこ,から,得る
目,で,見る
物,を,透かす
機能,に,語る
おかげ,で,つける
社会的,を,つける
身,に,つける
研究,を,分かる
基礎,を,築く
文明,を,形成
インド,に,来る
社員,を,見せる
議論,を,乗り越える
人間性,を,重視
人生,を,捧げる
エネルギー源,を,作り出す
詳細,を,説明
救急車,を,運営
起業家,に,転身
理由,を,語る
行政,に,蔓延
賄賂,を,撲滅
とも,に,撲滅
彼,に,ある
比喩,に,磨き
決定,に,与える
者,と,働く
時期,に,なる
大発生,を,確認
中,で,なる
キトンボ,と,呼ぶ
ルート,を,突き止める
海,を,越える
ユーモア,に,あふれる
分間,で,つく
上,で,つく
座,に,つく
実話,から,得る
教訓,に,する
話,を,する
マーケッター,に,得る
勝利,を,得る
メディア,で,集める
注目,を,集める
世界中,を,旅
生き様,を,伝える
写真,を,伝える
心,に,残る
感情,を,織り交ぜる
トーク,で,見つめる
問題,を,見つめる
角度,から,見つめる
活動,に,取り組む
関心,を,呼び起こす
きっかけ,と,なる
主義,で,知る
チャンス,を,詳述
経済学,を,調査
舞台裏,で,起こる
関係,を,する
トレードマーク,を,取り入れる
文化,に,取り入れる
進展,を,加える
様子,を,話す
メディア,から,わかる
繋がり,が,わかる
視力,を,回復
質,を,向上
サービス,を,再考
きっかけ,と,なる
理由,に,語る
治療,を,実現
ローコスト,で,実現
インタビュー,を,実施
ため,に,企画
秘訣,を,明かす
インタビュー,から,語る
エピソード,を,語る
奴隷制,から,救出
たち,を,救出
こと,に,捧げる
生涯,を,捧げる
勇気,に,満ちる
体験,に,加える
スピーチ,で,語る
物語,を,語る
人生,を,構築
会議,で,説明
考え方,を,説明
サンプル,に,共有
魅力,を,共有
理解,を,助ける
元,に,示す
助ける,を,示す
中心,に,存在
証拠,に,話す
ブラックホール,を,探す
tedindia,で,語る
ダンス,で,語る
改革,に,語る
変化,を,もたらす
世界,を,変える
砂漠,を,変える
プラン,を,解説
砂丘,を,変える
建築,に,変える
聴講生,と,滞在
インド,に,滞在
経済力,と,君臨
こと,を,実感
成長,を,表す
グラフ,で,表す
米国,を,追い越す
日,を,予測
デモ,より,注目
ラーベ,に,注目
歴史,を,もつ
こと,を,証明
神話,に,提供
視点,を,提供
互い,を,誤解
誤解,を,示す
煙,に,巻く
科学,を,する
源,と,する
数々,を,入れる
ご覧,に,入れる
音,に,反応
騒音,を,中和
構造,を,する
薬,を,忘れる
科学,から,得る
ヒント,を,得る
シフト,を,起こす
交流,を,する
数々,を,見せる
可能性,を,できる
手,に,できる
ソフトウェア,を,する
オープンソース,に,する
Q&A,で,語る
可能性,を,秘める
アラブ首長国連邦,で,放送
番組,を,取り上げる
社会,に,与える
影響,を,示す
写真,を,使う
隅々,に,ある
先,に,追う
道筋,を,追う
裏,に,隠れる
一端,を,垣間見る
1人,と,敢行
とも,に,敢行
フライト,を,敢行
鍵,と,なる
分子,を,追いかける
裏,に,ある
消失,に,説明
状態,で,往生
建築家,に,向かう
人間関係,を,損なう
関係,を,築く
障害,を,乗り越える
愛,を,育む
世界,に,溢れる
目,に,見える
対称性,に,共通
数学,を,語る
旅,を,する
鬱,に,なる
職,を,失う
状態,に,変わる
一人,に,なる
体験,を,語る
それ,を,救う
建築,から,脱却
自分,で,成長
構造物,を,作る
生物,と,言える
素材,を,提案
神話,を,通す
世界,を,理解
間,に,変える
世界,を,変える
答え,を,提案
未来,に,向ける
恩恵,を,受ける
中,で,発する
警告,を,発する
向上,に,つながる
道筋,を,描く
未来,を,航海
クリニック,で,見かける
再使用,で,なる
犠牲,に,なる
カメラ,で,捉える
共,に,伝える
問題,を,伝える
注射器,を,紹介
注射器,を,発明
問題,に,直面
ハーモニー,を,作り出す
講演,で,示す
スタイル,を,示す
立場,に,いる
人,に,引き出す
教訓,を,引き出す
指揮者,に,学ぶ
背後,に,ある
目,を,奪う
技術,に,解説
撮り直す,に,応える
コンピュータ,で,作り出す
危機,に,発する
端,を,発する
行動,を,推進
変化,を,特定
消費,と,結びつく
発展,を,示す
効果音,を,流す
我々,に,与える
影響,に,語る
事実,を,聞く
我々,に,与える
影響,を,与える
謎,を,解決
信号,で,成り立つ
スーパーコンピュータ,で,解明
謎,を,解明
もの,を,変える
見方,を,変える
こと,で,高める
価値,を,高める
価値,を,変える
満足感,を,与える
主張,を,する
人生観,に,与える
影響,を,与える
結論,を,提示
あなた,と,似る
表情,を,作る
感情,を,理解
それ,に,応える
ロボット,を,使う
デモ,に,うかがう
様子,を,うかがう
感情,を,表現
湾,を,発見
都市,に,なる
動物,に,満ちる
地図,を,作る
模様,を,紹介
配達,を,受ける
都市,に,なる
もの,に,彩る
空間,と,言える
写真,を,披露
自分自身,に,なる
視覚,を,混乱
こと,に,当てる
光,を,当てる
自分自身,で,持つ
感覚,を,知る
知覚,に,色づけ
文化的,を,探しだす
探しだす,を,語る
話,を,聴く
誤解,を,招く
センター,で,形成
傾向,を,理解
個人,へ,導く
個人,と,導く
互い,を,導く
一助,と,なる
都市,で,供給
どこ,から,やる
都市,に,供給
ルート,に,形成
古代,に,形成
形成,を,語る
考え方,を,リセット
ごと,に,閉める
スタジオ,を,閉める
長期休暇,を,設ける
力,に,説明
バリ,で,過ごす
中,で,生まれる
創造力,に,富む
プロジェクト,を,紹介
スペクトル,を,研究
振舞い,を,する
学問,を,見る
研究,から,近づく
中,に,ある
発布,から,経つ
役割,を,見つめる
我々,を,分かつ
ため,に,団結
皆,を,団結
活力,と,なる
触媒,に,語る
黄金律,を,復活
もの,を,作る
こと,で,なる
課題,に,果たす
役割,を,果たす
地域,に,根ざす
地図,に,描く
地図,を,使う
根源,を,説明
解決方法,を,提示
慈善事業,に,抱く
不信感,を,抱く
信頼性,に,抱く
不信感,を,抱く
議論,に,対立
例,を,上げる
資本,と,呼ぶ
中道,を,提案
表現,を,使う
写真,を,紹介
目,に,する
人々,を,公開
プロジェクト,に,関わる
目,に,つく
別世界,を,記録
罪,に,問う
者,を,捉える
場所,で,捉える
側面,を,撮る
歳,に,する
風車,を,作る
歳,に,なる
人生,を,変える
心,を,打つ
ステージ,で,する
話,を,する
自由主義,を,批判
人々,に,もたらす
主義,を,もたらす
勢力,を,抑止
実例,を,交える
信頼,に,基づく
行動,に,作る
アルバム,から,訴える
心,に,訴える
弾き語り,で,送る
視覚障害者,に,生じる
一種,に,語る
幻覚,を,描写
細部,に,描写
社会,に,知る
生態学,へ,案内
生態学,と,案内
要素,を,探る
不思議,に,繰り広げる
トーク,を,繰り広げる
ビデオ,を,使う
数々,を,駆け抜ける
実際,に,果たす
役割,を,果たす
風,を,防ぐ
太陽熱,を,集める
景観,を,創り出す
スピード,で,語る
％,に,成長
今,で,行う
調査,を,行う
執行機関,に,止まる
者,を,含む
ネットワーク,を,調査
方,に,理解
考え,に,考える
行動,に,下す
判断,を,下す
結果,に,話す
倫理的,を,下す
北極海,を,泳ぐ
記録,を,打ち破る
話,を,紹介
海,を,泳ぐ
着,で,泳ぐ
氷冠,に,当てる
脚光,を,当てる
様子,を,記録
映像,を,紹介
速度,で,退縮
氷河,を,記録
これ,で,捉える
変動,を,捉える
車,を,ひっくり返す
中,を,歩く
建物,から,落ちる
本業,で,する
スタント,を,する
もの,に,する
技術,を,推進
次,に,挑戦
順,を,追う
2009,で,説明
スカイダイビング,に,説明
世界,を,紹介
デザイン,を,創出
解決方法,を,紹介
自分,で,調製
眼鏡,を,調製
年,に,流通
人,に,流通
2009,で,発表
プラン,を,発表
山々,に,囲む
ノルウェー,に,ある
食料,を,蓄える
バンク,を,紹介
種,を,守る
未来,を,守る
一部,を,届ける
音,に,包む
中,で,扮する
ZERO,に,扮する
現実,を,織り交ぜる
省,で,行う
講演,で,使う
ソフトウェア,を,使う
神話,を,打ち砕く
データ,を,使う
ショー,を,楽しむ
データセット,で,変える
マインドセット,を,変える
ケーブル,を,使う
電力,で,解決
生活,を,解決
SF,に,出る
利点,を,説明
デモ,を,行う
ペースメーカー,を,充電
手始め,に,調べる
謎,を,調べる
話,に,傾ける
耳,を,傾ける
前,に,進む
頃,から,暮らす
スーダン,で,暮らす
兵,と,暮らす
活動,を,する
地域,で,暮らす
歌手,と,活動
ため,に,活動
歌詞,を,通す
現実,を,訴えかける
人々,に,訴えかける
家,に,ある
問題,を,解決
眼,を,向ける
そこ,で,見つける
デザイン,を,見つける
自然,から,得る
きっかけ,を,得る
講演,で,話す
成果,に,話す
罠,に,陥る
貧困,から,脱却
アイデア,を,する
行政区,を,管轄
香港,に,なれる
アクセス,を,欠く
それ,に,挑戦
フィルタ,を,開発
汚水,を,変える
飲料水,に,変える
説,を,みなす
意見,を,聴く
猿,から,進化
道具,を,使う
人,を,驚く
作品,を,作る
形,に,なる
体,から,作り出す
発想,を,分析
原因,と,なる
精神,を,乗り越える
喜び,を,見つける
仕事,で,見つける
歴史的,に,いる
ネットワーク,に,共有
規模,で,共有
倫理観,を,共有
問題,に,立ち向かう
共,に,立ち向かう
ウェブ,を,繋ぐ
説,に,反対
NASA,を,知る
これ,を,説明
色,に,まつわる
幻想,を,打砕く
番組,に,取り上げる
分析,に,する
話,を,する
書物,を,する
家系,に,する
話,を,する
器,を,デモンストレーション
液,を,採取
痛み,を,抑える
最小限,に,抑える
パレット,から,創造
芸術,を,創造
実験,から,始まる
光,で,遊ぶ
先駆け,と,なる
考え方,に,行う
再考,を,行う
省,に,向ける
世界,で,なる
話題,に,なる
スピーチ,で,垣間見る
力作,を,垣間見る
病院,で,報告
病原性,を,もつ
友人,を,する
目の当たり,に,する
法,を,する
支配下,に,ある
カンボジア,から,脱出
体験,を,話す
たち,を,救う
決意,を,物語る
繋がり,を,理解
領域,に,話す
スピーチ,で,尋ねる
アイデア,を,理解
脳,を,使える
意味,を,創る
家具,を,創る
賛辞,と,披露
記録,を,披露
もと,に,建築
根底,に,ある
ここ,で,語る
言葉,に,語る
追求,で,与える
刺激,を,与える
学校,で,学ぶ
教訓,を,紹介
ビデオ,で,紹介
問題,を,解決
工作,を,教える
社会,に,出る
微積分,を,使う
教育,を,する
もの,と,する
方法,に,行う
提案,を,行う
旅,に,語る
慈善活動,に,語る
イノベーション,に,やる
財源,で,やる
事,を,やる
例,を,示す
たち,に,訴えかける
国家,を,荒廃
混沌,を,もたらす
戦争,に,引き裂く
再建,を,助ける
問題点,を,指摘
アイデア,を,提案
国家,を,再建
特質,に,ある
未来,に,向き合う
観点,を,修正
歴史,を,概説
口,から,行う
ハンド,で,行う
手術,を,行う
ツール,を,デモ
方,に,向く
教会,に,加わる
過激派,に,言及
闘争,に,考える
道筋,を,提案
世界,を,飛び交う
下,に,いる
検閲,を,かいくぐる
たち,に,与える
手段,を,与える
こと,を,示す
上,から,コントロール
歴史,を,作る
生活,に,語る
環境,で,生き延びる
経験,から,探る
生き延びる,を,探る
イベント,から,採用
こと,を,語る
没落,を,挙げる
例,に,挙げる
挑戦,を,止める
教え,を,伝える
能力,を,持つ
研究,を,する
これ,で,隠す
能力,を,隠す
尻尾,に,する
こと,を,する
尻尾,から,学ぶ
科学,を,研究
状況,に,結びつく
影響,を,考える
マイクロプロセッサ,を,使う
コンセント,を,する
新技術,を,披露
事故,を,防止
エネルギー,を,節約
コンセント,を,宣伝
量,を,削減
資財,を,再考
プラスターボード,を,発明
講演,で,描き出す
姿,を,描き出す
増大,に,証明
講演,で,紹介
プロジェクト,を,紹介
目,を,見張る
空,から,見る
世界中,で,敢行
インタビュー,を,敢行
環境,に,及ぼす
息,を,飲む
影響,を,記録
映像,で,記録
広角,で,捉える
分析,に,進化
プロジェクト,を,紹介
技術,を,学ぶ
人類,に,貢献
手助け,を,する
シンギュラリティ,を,学ぶ
誌,で,選ぶ
神,に,選ぶ
noise,を,含む
出会い,を,楽しむ
多様性,を,守る
生命,を,維持
こと,を,主張
種,を,貯蔵
考え方,を,共有
種,を,貯蔵
教育,を,受ける
講演,で,訴えかける
もと,に,訴えかける
ギャップ,を,埋める
世界中,で,学ぶ
英語,を,学ぶ
学ぶ,を,説明
音声,を,活用
様子,を,伝える
楽しみ,を,取る
後,に,取る
成功,を,予見
講演,で,紹介
もの,に,紹介
マシュマロ,を,食べる
one,を,発表
スライド,を,紹介
作業,を,促進
夢,を,共有
エンケラドス,を,通過
新発見,に,語る
衛星,に,ある
間欠泉,から,採集
地下,に,ある
生命,を,抱く
こと,を,示す
生命,を,抱く
歴史,を,調べ上げる
笑い,を,誘う
事実,を,紹介
結果,を,用いる
何,を,決断
自分,で,思う
こと,を,証明
本当,に,決める
自分,で,決める
会社,で,伸ばす
売上,を,伸ばす
利益,を,倍増
念頭,に,ある
システム,に,起こす
革命,を,起こす
展望,を,紹介
スタイル,を,持つ
ボックス,で,パフォーマンス
グルーヴ,を,パフォーマンス
要因,を,解き明かす
データ,を,披露
感染,を,終わる
予防,に,ある
マスマーケティング,に,打つ
終止符,を,打つ
過去,から,存在
集団,を,再生
価値,に,基づく
変化,を,リード
力,を,与える
パン,を,褒め称える
観点,で,する
大量生産,を,する
世界,に,与える
食料,を,与える
一方,で,残す
世界中,に,与える
食料,を,与える
事,に,語る
2009,で,見せる
スライド,を,見せる
傾向,に,進む
事,を,示す
意見,を,する
重力,に,抵抗
空間,に,存在
彫刻,を,紹介
素材,を,使う
中,に,使う
ワイヤー,を,使う
空中,を,回る
空中,を,回る
科学,を,使う
芸術品,を,作り出す
話,を,交える
共,に,教える
共,に,教える
もの,と,教える
教育者,に,訴えかける
もの,を,考える
人,を,生み出す
科学,を,教える
共,に,教える
事,に,語る
ニュース,から,集める
もと,に,照らし出す
戦争,を,解きほぐす
2009,で,行う
スピーチ,に,伝える
情報,を,伝える
今まで,に,行う
中,で,もたらす
実験,に,もたらす
もたらす,を,語る
大学生,を,演ずる
例,を,紹介
2009,で,紹介
秘密,を,紹介
機能,を,取り戻す
可塑性,を,活用
方法,を,研究
アイデア,を,共有
グローバル化,に,形作る
コミュニティー,に,形作る
トーク,に,放つ
光,を,放つ
危機,を,乗り越える
スピーチ,で,読み上げる
ストリップ,を,読み上げる
物,に,つまる
核心,を,つく
奇抜,を,描写
ニューヨーク,を,描く
アップ,に,語る
暴力,に,する
国々,で,救う
命,を,救う
物議,を,かもす
疑問,に,答える
地域,で,削ぐ
数,を,削ぐ
寛容,を,促進
洞察,で,締めくくる
投票,に,及ぼす
影響,を,及ぼす
半生,と,話す
デザイン,に,話す
パイロット,に,なる
デザイナー,に,なる
条件,から,発明
椅子,を,発明
プロセス,に,説明
手法,を,用いる
珊瑚礁,を,再現
プロジェクト,を,進める
側面,を,紹介
珊瑚,を,つくり出す
中,で,見る
世界,へ,案内
世界,と,案内
編み,に,見る
2009,で,話す
ポイント,に,話す
役,に,立つ
ロッククライミング,から,学ぶ
勇気,を,与える
これ,を,やる
恐怖,に,打ち勝つ
何,で,学ぶ
データ,を,見る
方法,を,紹介
サウンド,を,使用
内部,に,ある
脳内,に,飛び込む
スピン,を,感ずる
音楽,に,傾ける
耳,を,傾ける
剥製,に,する
進化,を,加速
排ガス,を,抑制
以外,に,ある
年,に,する
国,を,する
依存,に,する
計画,を,掲げる
世界,に,話す
インターネット,で,アップ
世界,で,いう
方,に,話す
言葉,を,用いる
互い,に,お喋り
発動,を,コーディネイト
こと,を,発見
影響,を,及ぼす
的,を,用いる
手法,を,説明
後,で,立てる
未来,に,立てる
予想,を,立てる
未来,を,予測
映像,を,紹介
関わり,を,理解
すべて,に,向ける
映画,を,語る
満載,で,送る
講演,で,語る
再建,に,語る
間,を,滑空
以上,で,滑空
それ,を,やる
映像,で,示す
新聞,を,リデザイン
こと,で,受賞
賞,を,受賞
数,を,回復
新聞,を,救う
新聞,を,救える
裏,を,かく
常,に,行く
先,を,行く
元,で,発見
ウイルス,を,発見
間,で,ある
前,に,退治
それ,を,退治
意味,を,示す
人々,に,追い求める
ベスト,を,追い求める
達,へ,贈る
講話,で,伝える
教え,を,伝える
私達,に,伝える
街,で,出会う
ストーリー,を,語る
貧困,から,避難
医者,に,なる
結婚,を,する
かたち,で,実現
仕事,に,する
凧,を,用いる
エネルギー,を,作り出す
オフィス,で,見かける
観葉植物,を,用いる
空気,を,取り入れる
自分,で,できる
8,に,語る
情熱,に,語る
展開,を,見せる
方向,へ,進む
何,を,作り出す
もの,と,言える
モラル,に,潜む
落とし穴,に,注目
こと,を,する
時,と,働く
盗み,を,働く
真実,を,探る
実験,を,通す
うち,に,左右
判断,を,左右
セクシー,と,紹介
セクシー,に,紹介
セクシー,に,紹介
推論,を,紹介
World Wide Web,を,発明
動画,を,行く
対象,に,行く
データ,を,解放
構成,を,する
意図,と,する
人間,を,する
大人,に,する
遊び,を,続ける
何歳,に,なる
エミー,に,与える
義足,に,語る
パワー,に,語る
可能性,を,定義
指揮,を,とる
TED,で,ある
プロジェクター,を,搭載
道,を,拓く
世界,を,実感
流れ,を,変える
人,に,与える
感,を,与える
デザイン,に,見る
感情,に,向ける
眼,を,向ける
成功,を,収める
感情,に,訴える
講演,で,示す
特徴,を,示す
感情,に,訴える
仕事,に,話す
本質,に,評価
社会,で,評価
こと,を,語る
力,を,語る
Jobs,から,学ぶ
木々,に,住む
生態系,に,守る
世界,を,探求
世界,に,住む
アート,を,通ずる
こと,を,伝える
環境,を,紡ぎ合わせる
熱帯雨林,を,再生
方法,を,見出す
エコシステム,を,復元
同時,に,救う
オラウータン,を,救う
成果,に,語る
ベストセラー,と,なる
男の子,を,ターゲット
ゲーム,を,創り出す
超,に,及ぶ
リサーチ,に,語る
功績,と,言える
者,を,集める
ユーザー,から,学ぶ
会社,を,進める
方法,に,明かす
声,に,傾ける
耳,を,傾ける
カンファレンス,で,語る
作品,に,語る
下,に,ある
廃墟,を,探検
裸,に,なる
モデル,と,なる
写真,を,する
撮影,を,する
場所,に,あてる
焦点,を,あてる
プラスチックゴミ,から,成る
存在,を,知る
世界,に,知る
問題,を,投げかける
部門,で,獲得
賞,を,獲得
年,を,とる
顔,が,作り上げる
CG,で,作り上げる
人生,に,話す
作り上げる,を,話す
探索,を,促進
望遠鏡,を,結ぶ
エビデンス,と,なる
パターン,に,傾ける
耳,を,傾ける
危機的状況,を,示す
数字,で,示す
受賞,に,訴える
共,に,守る
心,を,守る
海,を,守る
人生,を,変える
中,で,構成
たち,に,構成
指揮,に,演奏
番,を,演奏
オーケストラ,を,指揮
ベネズエラ,で,変える
人生,を,変える
ここ,で,披露
物語,を,披露
国,に,与える
影響,を,与える
wish,を,公表
音楽,で,変わる
これ,から,到来
紙,に,起こる
株式市場,に,起こる
研究室,から,生じる
再起動,に,獲得
精神,を,獲得
種,に,なる
科学,に,共有
主義,を,突き詰める
道,を,進む
役,に,立つ
裏目,と,なる
糧,と,なる
世界,を,再建
デモ,を,行う
計算,を,する
音楽,を,奏でる
友達,と,できる
教育,に,くる
天才,に,抱く
期待,を,巡る
